iter	Passed	Remaining
169	262	1283
170	263	1277
171	264	1272
172	265	1266
173	265	1261
174	266	1256
175	267	1251
176	267	1245
177	268	1240
178	269	1235
179	270	1231
180	271	1226
181	271	1221
182	272	1216
183	273	1211
184	274	1207
185	274	1202
186	275	1198
187	276	1193
188	277	1189
189	277	1184
190	278	1180
191	279	1176
192	280	1171
193	281	1167
194	281	1163
195	282	1159
196	283	1155
197	284	1150
198	284	1146
199	285	1142
200	286	1138
201	287	1134
202	287	1130
203	288	1126
204	289	1122
205	290	1118
206	291	1115
207	291	1111
208	292	1107
209	293	1103
210	294	1100
211	294	1096
212	295	1092
213	296	1088
214	297	1085
215	298	1081
216	298	1078
217	299	1075
218	300	1071
219	301	1068
220	302	1064
221	302	1061
222	303	1057
223	304	1054
224	305	1051
225	305	1047
226	306	1044
227	307	1041
228	308	1038
229	309	1035
230	309	1031
231	310	1028
232	311	1025
233	312	1022
234	313	1019
235	313	1016
236	314	1013
237	315	1010
238	316	1007
239	317	1004
240	318	1001
241	318	998
242	319	995
243	320	992
244	321	989
245	322	987
246	322	984
247	323	981
248	324	978
249	325	976
250	326	973
251	327	970
252	327	967
253	328	965
254	329	962
255	330	959
256	331	957
257	331	954
258	332	951
259	333	949
260	334	946
261	335	944
262	335	941
263	336	938
264	337	936
265	338	933
266	339	930
267	339	928
268	340	925
269	341	922
270	342	920
271	342	917
272	343	915
273	344	912
274	345	910
275	345	907
276	346	904
277	347	902
278	348	899
279	349	898
280	350	896
281	351	894
282	352	891
283	352	889
284	353	887
285	354	884
286	355	882
287	356	880
288	357	878
289	357	876
290	358	873
291	359	871
292	360	869
293	361	867
294	362	865
295	362	862
296	363	860
297	364	858
298	365	856
299	366	854
300	366	851
301	367	849
302	368	847
303	369	845
304	370	843
305	371	841
306	372	839
307	372	837
308	373	835
309	374	833
310	375	832
311	376	830
312	377	828
313	378	827
314	379	825
315	380	823
316	381	821
317	382	819
318	383	817
319	383	815
320	384	813
321	385	812
322	386	810
323	387	808
324	388	806
325	389	804
326	389	802
327	390	800
328	391	798
329	392	796
330	393	794
331	394	793
332	395	791
333	395	789
334	396	787
335	397	785
336	398	783
337	399	781
338	400	779
339	400	778
340	401	776
341	402	774
342	403	772
343	404	770
344	404	768
345	405	766
346	406	764
347	407	763
348	408	761
349	408	759
350	409	757
351	410	755
352	411	753
353	412	752
354	412	750
355	413	748
356	414	746
357	415	744
358	416	742
359	416	741
360	417	739
361	418	737
362	419	735
363	420	734
364	420	732
365	421	730
366	422	729
367	423	727
368	424	725
369	425	723
370	425	722
371	426	720
372	427	718
373	428	716
374	428	714
375	429	713
376	430	711
377	431	709
378	432	708
379	432	706
380	433	704
381	434	703
382	435	701
383	436	699
384	436	698
385	437	696
386	438	694
387	439	693
388	440	691
389	440	689
390	441	688
391	442	686
392	443	684
393	444	683
394	444	681
395	445	679
396	446	677
397	447	676
398	448	674
399	448	673
400	449	671
401	450	670
402	451	668
403	452	666
404	452	665
405	453	663
406	454	662
407	455	660
408	455	658
409	456	657
410	457	655
411	458	653
412	458	652
413	459	650
414	460	649
415	461	647
416	461	645
417	462	644
418	463	642
419	464	641
420	465	639
421	465	638
422	466	636
423	467	635
424	468	633
425	469	632
426	469	630
427	470	629
428	471	627
429	472	626
430	472	624
431	473	622
432	474	621
433	475	619
434	476	618
435	476	616
436	477	615
437	478	613
438	479	612
439	479	610
440	480	609
441	481	608
442	482	606
443	483	605
444	483	603
445	484	602
446	485	600
447	486	599
448	486	597
449	487	596
450	488	594
451	489	593
452	490	591
453	490	590
454	491	588
455	492	587
456	493	586
457	494	584
458	494	583
459	495	581
460	496	580
461	497	578
462	497	577
463	498	576
464	499	574
465	500	573
466	500	571
467	501	570
468	502	569
469	503	567
470	504	566
471	504	564
472	505	563
473	506	561
474	507	560
475	507	559
476	508	557
477	509	556
478	509	554
479	510	553
480	511	551
481	512	550
482	513	549
483	513	547
484	514	546
485	515	545
486	516	543
487	516	542
488	517	541
489	518	539
490	519	538
